answer,question
Lambda calculus,"In mathematical logic and computer science, lambda calculus, also λ-calculus, is a formal system. It was designed to investigate the definition of functions, and how to apply them. It is also a tool for analysing recursion. It was introduced by Alonzo Church and Stephen Cole Kleene in the 1930s. Church used lambda calculus in 1936 to give a negative answer to the Entscheidungsproblem.  Lambda calculus can be used to define what a computable function is. No general algorithm can answer the question of whether two lambda calculus expressions are equivalent.  This was the first question, even before the halting problem, for which undecidability could be proved. Lambda calculus has greatly influenced functional programming languages,  such as LISP, ML and Haskell."
Standard deviation,"Standard deviation is a number used to tell how measurements for a group are spread out from the average (mean), or expected value. A low standard deviation means that most of the numbers are very close to the average. A high standard deviation means that the numbers are spread out."
Neutron star,A neutron star is a very small and dense star made almost completely of neutrons. It is a very large nucleus held together by gravity.
Lanthanide,"The lanthanide (or lanthanoid) series is a group of 15 elements that have atomic numbers 57 to 71. This group starts from lanthanum and it ends at lutetium.   All lanthanoids are f-block elements, meaning that electrons fill the 4f electron shell, except for lutetium which is a d-block lanthanoid. The lanthanoid series (Ln) is named after lanthanum."
RuBisCO,"Ribulose-1,5-bisphosphate carboxylase oxygenase, better known as RuBisCO, is an enzyme that catalyzes the first major step of carbon fixation in the Calvin cycle. Carbon fixation is a process by which the atoms of atmospheric carbon dioxide are made available to organisms in the form of energy-rich molecules such as glucose. RuBisCO splits 6-C molecules into two equal parts."
Dopamine,Dopamine is a neurotransmitter. Many different kinds of animals and humans use it to transmit information. It is used when the brain sends signals to the muscles in the body to make them move. It can make a person feel good.
Sulfur,"Sulfur (or sulphur) is a chemical element. The symbol for sulfur is S, and its atomic number is 16."
Lewis acid,"The concept of Lewis acid and Lewis base is one of acids and bases, which is independent of the idea of protons. Gilbert Newton Lewis developed this idea in the early 20th century. In this concept, a Lewis acid can accept and bind electrons. Lewis acid is a substance that accepts two electrons to form a covalent bond. A Lewis base is a substance that gives two electrons in the bonding. A Lewis acid together with a Lewis base will  react to make a compound called a Lewis adduct."
Microtubule,"Microtubules are a part of the cytoskeleton. They are hollow tubes whose walls consist of 13 columns of tubulin molecules. Its main functions are to maintain a cell's shape, cell motility, chromosome movement in cell division, and organelle movement."
RNA,"RNA is an acronym for ribonucleic acid, a nucleic acid. Many different kinds are now known."
Noble gas,The noble gases are a group of elements that are all gases. These elements are all in group 18 of the periodic table. They almost never react with other elements. This is because they have a full 8 electrons outer electron shell. There are six noble gases:
Outer core,The Earth's core is the part of Earth in the middle of our planet. It has a solid inner core and a liquid outer core.
Pain,Pain is a symptom of being hurt or sick. It is a bad sensation that is physical and emotional.
Buffer solution,A buffer solution is chemical solution which resists change to its pH or acidity.
Europa (moon),Europa is a large moon of the planet Jupiter. It is a little smaller than Earth's Moon and it is the sixth-largest moon in the solar system.
Colloid,A colloid is a mixture of one substance spread out evenly inside another substance. They can be in two different phases or states of matter.
